UF,IBGE,Municipio,CNES,EAS,Peso_Muito_Baixo_Quantidade,Peso_Muito_Baixo_Porcentagem,Peso_Baixo_Quantidade,Peso_Baixo_Porcentagem,Peso_Adequado_Quantidade,Peso_Adequado_Porcentagem,Peso_Elevado_Quantidade,Peso_Elevado_Porcentagem,Total,Local,Ano,Faixa_Etaria,Magreza_Acentuada_Qtd,Magreza_Acentuada_Pct,Magreza_Qtd,Magreza_Pct,Eutrofia_Qtd,Eutrofia_Pct,Sobrepeso_Qtd,Sobrepeso_Pct,Obesidade_Qtd,Obesidade_Pct,Obesidade_Grave_Qtd,Obesidade_Grave_Pct,cnes,lat_ubs,lon_ubs,qtd_esc_publicas,qtd_esc_privadas,qtd_fastfood,qtd_supermercados,qtd_pracas_esporte,acesso_transporte,Faixa_Etaria_Cod,Tendencia_Desnutricao,Desnutricao_Ano_Anterior,Delta_Desnutricao,Status,Delta_Predito
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,5.0,SP,2010,0 a 18 anos,,,0.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2030462,-22.408,-47.575,5,0,7,8,62,38,0,0.0,0.0,0.0,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,42.0,SP,2011,0 a 18 anos,,,0.0,0.0,33.0,78.57142857142857,0.0,0.0,9.0,21.428571428571427,0.0,0.0,2030462,-22.408,-47.575,5,0,7,8,62,38,0,0.0,0.0,0.0,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,95.0,SP,2012,0 a 18 anos,,,5.0,5.263157894736842,79.0,83.15789473684211,0.0,0.0,11.0,11.578947368421051,0.0,0.0,2030462,-22.408,-47.575,5,0,7,8,62,38,0,1.7543859649122806,0.0,1.7543859649122806,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,62.0,SP,2013,0 a 18 anos,,,1.0,1.6129032258064515,57.0,91.93548387096774,0.0,0.0,4.0,6.451612903225806,0.0,0.0,2030462,-22.408,-47.575,5,0,7,8,62,38,0,2.292020373514431,1.7543859649122806,0.5376344086021503,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,85.0,SP,2014,0 a 18 anos,,,3.0,3.5294117647058822,77.0,90.58823529411764,0.0,0.0,5.0,5.88235294117647,0.0,0.0,2030462,-22.408,-47.575,5,0,7,8,62,38,0,3.468490961749725,2.292020373514431,1.176470588235294,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,4.0,SP,2015,0 a 18 anos,,,1.0,25.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2030462,-22.408,-47.575,5,0,7,8,62,38,0,10.047438330170777,3.468490961749725,6.578947368421053,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,8.0,SP,2016,0 a 18 anos,,,0.0,0.0,7.0,87.5,0.0,0.0,1.0,12.5,0.0,0.0,2030462,-22.408,-47.575,5,0,7,8,62,38,0,9.509803921568627,10.047438330170777,-0.5376344086021501,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,70.0,SP,2017,0 a 18 anos,,,5.0,7.142857142857142,53.0,75.71428571428571,5.0,7.142857142857142,7.0,10.0,0.0,0.0,2030462,-22.408,-47.575,5,0,7,8,62,38,0,10.714285714285714,9.509803921568627,1.204481792717086,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,20.0,SP,2018,0 a 18 anos,,,0.0,0.0,16.0,80.0,2.0,10.0,2.0,10.0,0.0,0.0,2030462,-22.408,-47.575,5,0,7,8,62,38,0,2.380952380952381,10.714285714285714,-8.333333333333332,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,27.0,SP,2019,0 a 18 anos,,,1.0,3.7037037037037033,16.0,59.25925925925925,4.0,14.814814814814811,6.0,22.22222222222222,0.0,0.0,2030462,-22.408,-47.575,5,0,7,8,62,38,0,3.615520282186948,2.380952380952381,1.2345679012345672,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,88.0,SP,2020,0 a 18 anos,,,4.0,4.545454545454546,56.0,63.63636363636363,12.0,13.636363636363637,16.0,18.181818181818183,5.0,5.681818181818182,2030462,-22.408,-47.575,5,0,7,8,62,38,0,2.749719416386083,3.615520282186948,-0.8658008658008649,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,473.0,SP,2021,0 a 18 anos,,,8.0,1.6913319238900637,343.0,72.51585623678648,31.0,6.553911205073996,91.0,19.23890063424947,10.0,2.1141649048625792,2030462,-22.408,-47.575,5,0,7,8,62,38,0,3.3134967243494375,2.749719416386083,0.5637773079633543,DADO HISTÓRICO,
